,0
0,恒大曹家巷广场
1,龙湖上城
2,首开龙湖紫宸
3,正成拉斐
4,一品天下C区
5,西城公馆
6,西西里二期
7,旭辉江山和鸣
8,绿地世纪城
9,工人村
10,金都花园
11,绿地世纪城
12,树蓓巷1号院
13,西线阳光
14,金沙美邻一期
15,瑞安城中汇
16,龙湖源著别墅
17,一品荷花
18,金牛状元府邸
19,瑞安城中汇
20,百寿路2号院
21,凯丽豪景
22,德商新希望·国宾锦麟天玺
23,中南樾府
24,星辉中路10号院
25,恒大西锦城
26,金地嘉年华城
27,华侨城纯水岸一期
28,凯瑞花都
29,蓝光富丽碧蔓汀
30,中南樾府
31,瑞安城中汇
32,金域港湾
33,金地嘉年华城
34,金牛万达c组团
35,阳曦芙蓉城
36,电建地产洺悦玺
37,中环西岸观邸
38,抚琴北三巷3号院
39,西西里二期
40,龙湖上城
41,恒大曹家巷广场
42,恒大曹家巷广场
43,恒大曹家巷广场
44,华侨城原岸
45,华侨城纯水岸一期
46,青房尚瑞天韵
47,金沙御苑
48,曹家巷恒大雅苑
49,保利天和
50,保利两河森林别墅
51,文华路14号院
52,西城公馆
53,华侨城纯水岸二期
54,旭辉江山和鸣
55,泉水南苑
56,映日荷花
57,和谐家园
58,金地嘉年华城
59,蓝光富丽碧蔓汀
60,远洋朗郡
61,恒大西锦城
62,远洋朗郡
63,百寿路7号院
64,华侨城原岸
65,德商新希望·国宾锦麟天玺
66,中南樾府
67,高家庄赞城
68,工人村
69,正成拉斐
70,荣光巷2号院
71,华侨城东岸
72,金地嘉年华城
73,华宇锦城名都
74,远洋朗郡
75,春语花间
76,阳曦芙蓉城
77,瑞安城中汇
78,恒大曹家巷广场
79,蓝光富丽城
80,御都花园别墅
81,泉水人家三期A区
82,德意馨苑
83,万科锦西润园
84,和谐家园
85,瑞安城中汇
86,水晶花园
87,金沙御苑
88,旭辉江山和鸣
89,华侨城天鹅堡
90,百佳庭院
91,香山苑
92,华侨城原岸
93,青房尚瑞天韵
94,卓越云际
95,四季香榭
96,恒大曹家巷广场
97,泰基花语廊
98,碧桂园城市花园
99,金都花园
100,星辉西路8号院
101,恒大曹家巷广场
102,尚锦城
