,小区名称,百度经度,百度纬度
0,恒大曹家巷广场,104.09733802807553,30.67911645045435
1,龙湖上城,104.07880104472437,30.688633885787453
2,首开龙湖紫宸,104.03919295817843,30.70579189778465
3,正成拉斐,104.00487598091681,30.724537152794277
4,一品天下C区,104.03127412561632,30.69805185888818
5,西城公馆,104.03481300017287,30.702389900881233
6,西西里二期,104.02586812305726,30.707751765602286
7,旭辉江山和鸣,104.05740358713781,30.697356042874134
8,绿地世纪城,104.08655387042825,30.726461867199223
9,工人村,104.09088298434193,30.681496849267635
10,金都花园,104.01938100981697,30.697944105942128
11,绿地世纪城,104.08655387042825,30.726461867199223
12,树蓓巷1号院,104.09889910339076,30.691218932715774
13,西线阳光,104.0006939196151,30.716045905069038
14,金沙美邻一期,104.02284316908298,30.694811609477355
15,瑞安城中汇,104.09805469621138,30.698848590337068
16,龙湖源著别墅,103.98673991131476,30.71916055239091
17,一品荷花,104.08716705376935,30.702469935559943
18,金牛状元府邸,104.02906968389483,30.691918908165462
19,瑞安城中汇,104.09805469621138,30.698848590337068
20,百寿路2号院,104.04235023345265,30.6767923351543
21,凯丽豪景,104.03327330452878,30.69287445643695
22,德商新希望·国宾锦麟天玺,104.03150346301301,30.705772103287163
23,中南樾府,104.09775996217357,30.79602282702288
24,星辉中路10号院,104.08937041752422,30.679813796897175
25,恒大西锦城,104.01731643426338,30.714818304524716
26,金地嘉年华城,104.01480100546249,30.702326957091405
27,华侨城纯水岸一期,104.03469496282887,30.72329584663474
28,凯瑞花都,104.04524205765208,30.69133337004645
29,蓝光富丽碧蔓汀,104.09516799145507,30.69342862036998
30,中南樾府,104.09775996217357,30.79602282702288
31,瑞安城中汇,104.09805469621138,30.698848590337068
32,金域港湾,104.01996014737925,30.70030004825778
33,金地嘉年华城,104.01480100546249,30.702326957091405
34,金牛万达c组团,104.08097835761946,30.69485648214672
35,阳曦芙蓉城,104.02292401657887,30.704715226415807
36,电建地产洺悦玺,103.9871550182909,30.734744836212062
37,中环西岸观邸,104.0182137516373,30.713031363081903
38,抚琴北三巷3号院,104.04525957460952,30.684373871565345
39,西西里二期,104.02586812305726,30.707751765602286
40,龙湖上城,104.07880104472437,30.688633885787453
41,恒大曹家巷广场,104.09733802807553,30.67911645045435
42,恒大曹家巷广场,104.09733802807553,30.67911645045435
